,Year,Value,Month
10,1890,-0.29,7
11,1891,-0.22,7
12,1892,-0.35,7
13,1893,-0.2,7
14,1894,-0.27,7
15,1895,-0.2,7
16,1896,-0.04,7
17,1897,-0.04,7
18,1898,-0.24,7
19,1899,-0.13,7
20,1900,-0.07,7
21,1901,-0.16,7
22,1902,-0.29,7
23,1903,-0.33,7
24,1904,-0.46,7
25,1905,-0.19,7
26,1906,-0.24,7
27,1907,-0.35,7
28,1908,-0.38,7
29,1909,-0.44,7
30,1910,-0.33,7
31,1911,-0.47,7
32,1912,-0.32,7
33,1913,-0.36,7
34,1914,-0.21,7
35,1915,-0.03,7
36,1916,-0.29,7
37,1917,-0.18,7
38,1918,-0.2,7
39,1919,-0.21,7
40,1920,-0.25,7
41,1921,-0.12,7
42,1922,-0.26,7
43,1923,-0.28,7
44,1924,-0.22,7
45,1925,-0.21,7
46,1926,-0.16,7
47,1927,-0.1,7
48,1928,-0.18,7
49,1929,-0.28,7
50,1930,-0.07,7
51,1931,-0.02,7
52,1932,-0.11,7
53,1933,-0.18,7
54,1934,-0.09,7
55,1935,-0.12,7
56,1936,-0.01,7
57,1937,-0.0,7
58,1938,-0.05,7
59,1939,0.0,7
60,1940,0.15,7
61,1941,0.21,7
62,1942,0.08,7
63,1943,0.19,7
64,1944,0.32,7
65,1945,0.17,7
66,1946,-0.03,7
67,1947,-0.02,7
68,1948,-0.06,7
69,1949,-0.08,7
70,1950,-0.11,7
71,1951,0.11,7
72,1952,0.07,7
73,1953,0.06,7
74,1954,-0.12,7
75,1955,-0.09,7
76,1956,-0.14,7
77,1957,0.06,7
78,1958,0.06,7
79,1959,0.06,7
80,1960,0.03,7
81,1961,0.03,7
82,1962,0.09,7
83,1963,0.14,7
84,1964,-0.11,7
85,1965,-0.08,7
86,1966,0.07,7
87,1967,-0.02,7
88,1968,-0.02,7
89,1969,0.09,7
90,1970,-0.02,7
91,1971,-0.06,7
92,1972,0.07,7
93,1973,0.12,7
94,1974,0.02,7
95,1975,0.01,7
96,1976,-0.09,7
97,1977,0.17,7
98,1978,0.07,7
99,1979,0.18,7
100,1980,0.22,7
101,1981,0.23,7
102,1982,0.15,7
103,1983,0.27,7
104,1984,0.12,7
105,1985,0.08,7
106,1986,0.17,7
107,1987,0.42,7
108,1988,0.34,7
109,1989,0.31,7
110,1990,0.35,7
111,1991,0.45,7
112,1992,0.14,7
113,1993,0.24,7
114,1994,0.32,7
115,1995,0.43,7
116,1996,0.33,7
117,1997,0.51,7
118,1998,0.73,7
119,1999,0.4,7
120,2000,0.4,7
121,2001,0.56,7
122,2002,0.62,7
123,2003,0.54,7
124,2004,0.48,7
125,2005,0.66,7
126,2006,0.63,7
127,2007,0.53,7
128,2008,0.58,7
129,2009,0.64,7
130,2010,0.72,7
131,2011,0.63,7
132,2012,0.69,7
133,2013,0.67,7
134,2014,0.7,7
0,1880,-0.08,8
1,1881,-0.06,8
2,1882,-0.01,8
3,1883,-0.06,8
4,1884,-0.28,8
5,1885,-0.25,8
6,1886,-0.23,8
7,1887,-0.32,8
8,1888,-0.17,8
9,1889,-0.15,8
10,1890,-0.34,8
11,1891,-0.23,8
12,1892,-0.33,8
13,1893,-0.32,8
14,1894,-0.27,8
15,1895,-0.22,8
16,1896,-0.06,8
17,1897,-0.07,8
18,1898,-0.23,8
19,1899,-0.06,8
20,1900,-0.07,8
21,1901,-0.13,8
22,1902,-0.26,8
23,1903,-0.43,8
24,1904,-0.43,8
25,1905,-0.22,8
26,1906,-0.23,8
27,1907,-0.33,8
28,1908,-0.48,8
29,1909,-0.31,8
30,1910,-0.34,8
31,1911,-0.46,8
32,1912,-0.46,8
33,1913,-0.33,8
34,1914,-0.18,8
35,1915,-0.08,8
36,1916,-0.28,8
37,1917,-0.17,8
38,1918,-0.17,8
39,1919,-0.21,8
40,1920,-0.23,8
41,1921,-0.19,8
42,1922,-0.28,8
43,1923,-0.28,8
44,1924,-0.29,8
45,1925,-0.14,8
46,1926,-0.09,8
47,1927,-0.11,8
48,1928,-0.2,8
49,1929,-0.21,8
50,1930,-0.09,8
51,1931,-0.02,8
52,1932,-0.18,8
53,1933,-0.19,8
54,1934,-0.05,8
55,1935,-0.1,8
56,1936,-0.06,8
57,1937,0.09,8
58,1938,-0.02,8
59,1939,0.05,8
60,1940,0.09,8
61,1941,0.17,8
62,1942,0.04,8
63,1943,0.1,8
64,1944,0.27,8
65,1945,0.36,8
66,1946,-0.07,8
67,1947,-0.07,8
68,1948,-0.03,8
69,1949,-0.03,8
70,1950,-0.14,8
71,1951,0.11,8
72,1952,0.06,8
73,1953,0.08,8
74,1954,-0.09,8
75,1955,-0.03,8
76,1956,-0.19,8
77,1957,0.13,8
78,1958,0.05,8
79,1959,0.05,8
80,1960,0.05,8
81,1961,0.03,8
82,1962,0.06,8
83,1963,0.16,8
84,1964,-0.17,8
85,1965,-0.05,8
86,1966,0.02,8
87,1967,-0.01,8
88,1968,-0.02,8
89,1969,0.1,8
90,1970,-0.02,8
91,1971,-0.07,8
92,1972,0.09,8
93,1973,0.08,8
94,1974,0.01,8
95,1975,-0.07,8
96,1976,-0.09,8
97,1977,0.14,8
98,1978,0.01,8
99,1979,0.23,8
100,1980,0.2,8
101,1981,0.25,8
102,1982,0.14,8
103,1983,0.33,8
104,1984,0.17,8
105,1985,0.13,8
106,1986,0.17,8
107,1987,0.39,8
108,1988,0.33,8
109,1989,0.3,8
110,1990,0.35,8
111,1991,0.39,8
112,1992,0.14,8
113,1993,0.21,8
114,1994,0.31,8
115,1995,0.51,8
116,1996,0.32,8
117,1997,0.54,8
118,1998,0.68,8
119,1999,0.37,8
120,2000,0.46,8
121,2001,0.61,8
122,2002,0.54,8
123,2003,0.62,8
124,2004,0.52,8
125,2005,0.63,8
126,2006,0.63,8
127,2007,0.56,8
128,2008,0.56,8
129,2009,0.7,8
130,2010,0.66,8
131,2011,0.61,8
132,2012,0.67,8
133,2013,0.67,8
134,2014,0.8,8
0,1880,-0.09,9
1,1881,-0.19,9
2,1882,-0.0,9
3,1883,-0.15,9
4,1884,-0.23,9
5,1885,-0.21,9
6,1886,-0.2,9
7,1887,-0.19,9
8,1888,-0.07,9
9,1889,-0.23,9
10,1890,-0.36,9
11,1891,-0.15,9
12,1892,-0.22,9
13,1893,-0.26,9
14,1894,-0.25,9
15,1895,-0.13,9
16,1896,-0.06,9
17,1897,-0.02,9
18,1898,-0.21,9
19,1899,-0.03,9
20,1900,-0.06,9
21,1901,-0.21,9
22,1902,-0.24,9
23,1903,-0.38,9
24,1904,-0.47,9
25,1905,-0.22,9
26,1906,-0.3,9
27,1907,-0.34,9
28,1908,-0.4,9
29,1909,-0.36,9
30,1910,-0.34,9
31,1911,-0.4,9
32,1912,-0.51,9
33,1913,-0.36,9
34,1914,-0.19,9
35,1915,-0.12,9
36,1916,-0.26,9
37,1917,-0.06,9
38,1918,-0.14,9
39,1919,-0.18,9
40,1920,-0.17,9
41,1921,-0.15,9
42,1922,-0.26,9
43,1923,-0.25,9
44,1924,-0.28,9
45,1925,-0.1,9
46,1926,-0.1,9
47,1927,-0.03,9
48,1928,-0.19,9
49,1929,-0.21,9
50,1930,-0.11,9
51,1931,-0.01,9
52,1932,-0.07,9
53,1933,-0.22,9
54,1934,-0.12,9
55,1935,-0.09,9
56,1936,-0.04,9
57,1937,0.13,9
58,1938,0.03,9
59,1939,0.01,9
60,1940,0.15,9
61,1941,0.09,9
62,1942,0.11,9
63,1943,0.14,9
64,1944,0.38,9
65,1945,0.26,9
66,1946,-0.02,9
67,1947,-0.13,9
68,1948,-0.11,9
69,1949,-0.07,9
70,1950,-0.11,9
71,1951,0.13,9
72,1952,0.07,9
73,1953,0.07,9
74,1954,-0.06,9
75,1955,-0.09,9
76,1956,-0.25,9
77,1957,0.07,9
78,1958,0.02,9
79,1959,0.1,9
80,1960,0.06,9
81,1961,-0.01,9
82,1962,0.06,9
83,1963,0.16,9
84,1964,-0.21,9
85,1965,-0.05,9
86,1966,0.03,9
87,1967,-0.03,9
88,1968,-0.01,9
89,1969,0.08,9
90,1970,0.01,9
91,1971,-0.04,9
92,1972,0.02,9
93,1973,0.06,9
94,1974,-0.04,9
95,1975,0.02,9
96,1976,-0.04,9
97,1977,0.19,9
98,1978,0.08,9
99,1979,0.25,9
100,1980,0.2,9
101,1981,0.19,9
102,1982,0.24,9
103,1983,0.32,9
104,1984,0.15,9
105,1985,0.1,9
106,1986,0.17,9
107,1987,0.44,9
108,1988,0.32,9
109,1989,0.31,9
110,1990,0.32,9
111,1991,0.39,9
112,1992,0.07,9
113,1993,0.17,9
114,1994,0.34,9
115,1995,0.39,9
116,1996,0.27,9
117,1997,0.62,9
118,1998,0.53,9
119,1999,0.4,9
120,2000,0.44,9
121,2001,0.51,9
122,2002,0.57,9
123,2003,0.64,9
124,2004,0.54,9
125,2005,0.69,9
126,2006,0.64,9
127,2007,0.58,9
128,2008,0.53,9
129,2009,0.71,9
130,2010,0.57,9
131,2011,0.6,9
132,2012,0.72,9
133,2013,0.68,9
134,2014,0.79,9
0,1880,-0.19,10
1,1881,-0.23,10
2,1882,-0.22,10
3,1883,-0.17,10
4,1884,-0.18,10
5,1885,-0.14,10
6,1886,-0.23,10
7,1887,-0.3,10
8,1888,0.01,10
9,1889,-0.2,10
10,1890,-0.31,10
11,1891,-0.29,10
12,1892,-0.25,10
13,1893,-0.21,10
14,1894,-0.21,10
15,1895,-0.13,10
16,1896,0.0,10
17,1897,-0.16,10
18,1898,-0.33,10
19,1899,-0.03,10
20,1900,0.05,10
21,1901,-0.28,10
22,1902,-0.29,10
23,1903,-0.44,10
24,1904,-0.41,10
25,1905,-0.3,10
26,1906,-0.28,10
27,1907,-0.3,10
28,1908,-0.52,10
29,1909,-0.39,10
30,1910,-0.42,10
31,1911,-0.34,10
32,1912,-0.53,10
33,1913,-0.32,10
34,1914,-0.1,10
35,1915,-0.18,10
36,1916,-0.27,10
37,1917,-0.26,10
38,1918,-0.1,10
39,1919,-0.22,10
40,1920,-0.21,10
41,1921,-0.07,10
42,1922,-0.25,10
43,1923,-0.16,10
44,1924,-0.29,10
45,1925,-0.13,10
46,1926,-0.08,10
47,1927,0.02,10
48,1928,-0.12,10
49,1929,-0.12,10
50,1930,-0.01,10
51,1931,0.01,10
52,1932,-0.09,10
53,1933,-0.19,10
54,1934,-0.07,10
55,1935,-0.01,10
56,1936,-0.02,10
57,1937,0.11,10
58,1938,0.08,10
59,1939,-0.04,10
60,1940,0.1,10
61,1941,0.31,10
62,1942,0.15,10
63,1943,0.31,10
64,1944,0.31,10
65,1945,0.26,10
66,1946,-0.01,10
67,1947,0.05,10
68,1948,-0.07,10
69,1949,-0.03,10
70,1950,-0.17,10
71,1951,0.11,10
72,1952,-0.04,10
73,1953,0.07,10
74,1954,-0.07,10
75,1955,-0.13,10
76,1956,-0.2,10
77,1957,0.01,10
78,1958,0.04,10
79,1959,-0.02,10
80,1960,0.04,10
81,1961,-0.03,10
82,1962,0.08,10
83,1963,0.21,10
84,1964,-0.27,10
85,1965,0.02,10
86,1966,-0.06,10
87,1967,0.13,10
88,1968,0.05,10
89,1969,0.07,10
90,1970,-0.04,10
91,1971,-0.08,10
92,1972,0.09,10
93,1973,0.05,10
94,1974,-0.08,10
95,1975,-0.12,10
96,1976,-0.18,10
97,1977,0.12,10
98,1978,0.07,10
99,1979,0.3,10
100,1980,0.18,10
101,1981,0.17,10
102,1982,0.18,10
103,1983,0.21,10
104,1984,0.12,10
105,1985,0.13,10
106,1986,0.21,10
107,1987,0.34,10
108,1988,0.3,10
109,1989,0.31,10
110,1990,0.43,10
111,1991,0.33,10
112,1992,0.12,10
113,1993,0.25,10
114,1994,0.43,10
115,1995,0.44,10
116,1996,0.23,10
117,1997,0.65,10
118,1998,0.49,10
119,1999,0.38,10
120,2000,0.31,10
121,2001,0.51,10
122,2002,0.48,10
123,2003,0.73,10
124,2004,0.62,10
125,2005,0.7,10
126,2006,0.68,10
127,2007,0.57,10
128,2008,0.67,10
129,2009,0.65,10
130,2010,0.62,10
131,2011,0.64,10
132,2012,0.7,10
133,2013,0.69,10
134,2014,0.79,10
0,1880,-0.27,11
1,1881,-0.22,11
2,1882,-0.14,11
3,1883,-0.17,11
4,1884,-0.28,11
5,1885,-0.14,11
6,1886,-0.2,11
7,1887,-0.17,11
8,1888,-0.05,11
9,1889,-0.29,11
10,1890,-0.35,11
11,1891,-0.39,11
12,1892,-0.47,11
13,1893,-0.17,11
14,1894,-0.29,11
15,1895,-0.16,11
16,1896,-0.16,11
17,1897,-0.26,11
18,1898,-0.25,11
19,1899,0.14,11
20,1900,-0.14,11
21,1901,-0.14,11
22,1902,-0.35,11
23,1903,-0.39,11
24,1904,-0.17,11
25,1905,-0.09,11
26,1906,-0.37,11
27,1907,-0.51,11
28,1908,-0.48,11
29,1909,-0.28,11
30,1910,-0.5,11
31,1911,-0.26,11
32,1912,-0.42,11
33,1913,-0.14,11
34,1914,-0.12,11
35,1915,-0.01,11
36,1916,-0.4,11
37,1917,-0.14,11
38,1918,-0.11,11
39,1919,-0.32,11
40,1920,-0.25,11
41,1921,-0.19,11
42,1922,-0.19,11
43,1923,0.03,11
44,1924,-0.29,11
45,1925,0.06,11
46,1926,-0.07,11
47,1927,-0.04,11
48,1928,-0.07,11
49,1929,-0.1,11
50,1930,0.14,11
51,1931,-0.12,11
52,1932,-0.2,11
53,1933,-0.25,11
54,1934,0.01,11
55,1935,-0.27,11
56,1936,-0.03,11
57,1937,0.01,11
58,1938,0.0,11
59,1939,0.04,11
60,1940,0.1,11
61,1941,0.22,11
62,1942,0.17,11
63,1943,0.24,11
64,1944,0.14,11
65,1945,0.19,11
66,1946,-0.01,11
67,1947,-0.03,11
68,1948,-0.06,11
69,1949,-0.06,11
70,1950,-0.36,11
71,1951,0.02,11
72,1952,-0.2,11
73,1953,-0.06,11
74,1954,0.04,11
75,1955,-0.24,11
76,1956,-0.16,11
77,1957,0.12,11
78,1958,0.09,11
79,1959,-0.08,11
80,1960,-0.05,11
81,1961,0.01,11
82,1962,0.07,11
83,1963,0.19,11
84,1964,-0.2,11
85,1965,-0.09,11
86,1966,-0.05,11
87,1967,-0.02,11
88,1968,0.02,11
89,1969,0.19,11
90,1970,0.02,11
91,1971,0.04,11
92,1972,0.08,11
93,1973,0.02,11
94,1974,-0.07,11
95,1975,-0.15,11
96,1976,-0.04,11
97,1977,0.26,11
98,1978,0.23,11
99,1979,0.3,11
100,1980,0.33,11
101,1981,0.22,11
102,1982,0.15,11
103,1983,0.44,11
104,1984,0.04,11
105,1985,0.12,11
106,1986,0.16,11
107,1987,0.34,11
108,1988,0.23,11
109,1989,0.26,11
110,1990,0.48,11
111,1991,0.32,11
112,1992,0.09,11
113,1993,0.1,11
114,1994,0.45,11
115,1995,0.46,11
116,1996,0.29,11
117,1997,0.58,11
118,1998,0.41,11
119,1999,0.37,11
120,2000,0.26,11
121,2001,0.69,11
122,2002,0.59,11
123,2003,0.58,11
124,2004,0.76,11
125,2005,0.73,11
126,2006,0.65,11
127,2007,0.52,11
128,2008,0.67,11
129,2009,0.67,11
130,2010,0.77,11
131,2011,0.48,11
132,2012,0.71,11
133,2013,0.83,11
134,2014,0.69,11
0,1880,-0.09,12
1,1881,-0.06,12
2,1882,-0.18,12
3,1883,-0.08,12
4,1884,-0.16,12
5,1885,0.04,12
6,1886,-0.17,12
7,1887,-0.21,12
8,1888,0.04,12
9,1889,-0.19,12
10,1890,-0.25,12
11,1891,-0.04,12
12,1892,-0.47,12
13,1893,-0.25,12
14,1894,-0.24,12
15,1895,-0.07,12
16,1896,0.06,12
17,1897,-0.29,12
18,1898,-0.01,12
19,1899,-0.17,12
20,1900,0.03,12
21,1901,-0.24,12
22,1902,-0.36,12
23,1903,-0.39,12
24,1904,-0.24,12
25,1905,-0.13,12
26,1906,-0.15,12
27,1907,-0.39,12
28,1908,-0.38,12
29,1909,-0.41,12
30,1910,-0.57,12
31,1911,-0.25,12
32,1912,-0.36,12
33,1913,-0.04,12
34,1914,-0.1,12
35,1915,-0.05,12
36,1916,-0.58,12
37,1917,-0.54,12
38,1918,-0.32,12
39,1919,-0.3,12
40,1920,-0.39,12
41,1921,-0.09,12
42,1922,-0.16,12
43,1923,0.0,12
44,1924,-0.4,12
45,1925,0.14,12
46,1926,-0.21,12
47,1927,-0.31,12
48,1928,-0.17,12
49,1929,-0.51,12
50,1930,-0.0,12
51,1931,-0.11,12
52,1932,-0.19,12
53,1933,-0.41,12
54,1934,-0.03,12
55,1935,-0.17,12
56,1936,-0.02,12
57,1937,-0.09,12
58,1938,-0.25,12
59,1939,0.41,12
60,1940,0.27,12
61,1941,0.21,12
62,1942,0.15,12
63,1943,0.35,12
64,1944,0.09,12
65,1945,-0.05,12
66,1946,-0.27,12
67,1947,-0.14,12
68,1948,-0.11,12
69,1949,-0.19,12
70,1950,-0.18,12
71,1951,0.21,12
72,1952,-0.01,12
73,1953,0.05,12
74,1954,-0.19,12
75,1955,-0.27,12
76,1956,-0.16,12
77,1957,0.23,12
78,1958,0.14,12
79,1959,-0.04,12
80,1960,0.23,12
81,1961,-0.02,12
82,1962,0.09,12
83,1963,0.08,12
84,1964,-0.26,12
85,1965,-0.01,12
86,1966,-0.13,12
87,1967,-0.04,12
88,1968,-0.04,12
89,1969,0.25,12
90,1970,-0.1,12
91,1971,-0.02,12
92,1972,0.25,12
93,1973,0.03,12
94,1974,-0.1,12
95,1975,-0.09,12
96,1976,0.09,12
97,1977,0.11,12
98,1978,0.15,12
99,1979,0.51,12
100,1980,0.27,12
101,1981,0.42,12
102,1982,0.44,12
103,1983,0.28,12
104,1984,-0.09,12
105,1985,0.2,12
106,1986,0.22,12
107,1987,0.53,12
108,1988,0.36,12
109,1989,0.4,12
110,1990,0.45,12
111,1991,0.31,12
112,1992,0.29,12
113,1993,0.32,12
114,1994,0.41,12
115,1995,0.35,12
116,1996,0.39,12
117,1997,0.63,12
118,1998,0.58,12
119,1999,0.58,12
120,2000,0.32,12
121,2001,0.52,12
122,2002,0.44,12
123,2003,0.74,12
124,2004,0.51,12
125,2005,0.62,12
126,2006,0.77,12
127,2007,0.49,12
128,2008,0.57,12
129,2009,0.62,12
130,2010,0.48,12
131,2011,0.54,12
132,2012,0.46,12
133,2013,0.7,12
134,2014,0.84,12
